Numero,Ide,Cuenta,Numero,Iden,Cuet
1,P11838,689,26,P23497,106
2,P00918,619,27,P00800,103
3,P00698,498,28,O26232,102
4,P00760,310,29,P22629,97
5,Q6PJP8,296,30,P00489,96
6,Q6B0I6,269,31,P03367,96
7,P02766,258,32,P68400,95
8,O95696,257,33,A0A073FPA6,84
9,Q9UIF8,227,34,P46881,79
10,P00644,216,35,P00811,78
11,P00720,215,36,Q16539,77
12,P24941,203,37,P14174,75
13,P42212,182,38,P00431,73
14,P29476,178,39,P01116,73
15,P02185,172,40,P00183,72
16,O60885,170,41,P01112,72
17,P18031,152,42,Q00511,70
18,P61823,145,43,Q76353,68
19,P28720,144,44,P00282,64
20,P07900,142,45,P02883,63
21,P61626,139,46,P02945,63
22,P15121,125,47,P06873,63
23,P56817,124,48,P16113,63
24,P0DTD1,123,49,Q04609,63
25,P19491,116,50,P00772,61
